code,object_type_code,category,name_th,name_en
SIGN_IN_OUT,PLATFORM,Auth,ลงชื่อเข้า / ออก,Sign in / Sign out
SIGN_UP_AS_SPECTATOR,PLATFORM,Auth,สมัครเป็นผู้ชม,Sign up as Spectator
SIGN_UP_AS_PLAYER,PLATFORM,Auth,สมัครเป็นผู้เล่น (ผู้ใหญ่),Sign up as Player (adult)
SIGN_UP_AS_COACH,PLATFORM,Auth,สมัครเป็นโค้ช,Sign up as Coach
SIGN_UP_AS_ORGANIZER,PLATFORM,Auth,สมัครเป็นผู้จัดการแข่งขัน,Sign up as Organizer
SIGN_UP_PLAYER_AS_GUARDIAN,PLATFORM,Auth,สมัครผู้เล่น (เด็กในความดูแล),Sign up minor Player as Guardian
SIGN_UP_AS_REFEREE_REQUEST,PLATFORM,Auth,ส่งคำขอสมัครเป็นผู้ตัดสิน,Submit Referee signup request
APPROVE_REFEREE,PLATFORM,Admin,อนุมัติผู้ตัดสิน,Approve pending Referee account
CREATE_USER_ACCOUNT,PLATFORM,Admin,สร้างบัญชีผู้ใช้ (ใดๆ),Create any user account (admin-only minting)
INVITE_CO_ORGANIZER,EVENT,Events,เชิญผู้ร่วมจัด,Invite Co-organizer to event
ACCEPT_CO_ORGANIZER_INVITE,EVENT,Events,ตอบรับเป็นผู้ร่วมจัด,Accept Co-organizer invite
INSTALL_APP,PLATFORM,Live,ติดตั้งแอป (PWA),Install app (PWA)
MANAGE_ALL_USERS,PLATFORM,Admin,จัดการผู้ใช้ทั้งหมด,Manage all users
MODERATE_LISTINGS,PLATFORM,Admin,ตรวจสอบและจัดการรายการ,Moderate listings
BROWSE_EVENTS,PLATFORM,Events,เรียกดูอีเวนต์,Browse events (list)
BROWSE_TEAMS,PLATFORM,Teams,ค้นหาทีม,Browse / find a team
CREATE_EVENT,PLATFORM,Events,สร้างอีเวนต์,Create event
VIEW_EVENT,EVENT,Events,ดูอีเวนต์,View event detail
EDIT_EVENT,EVENT,Events,แก้ไขอีเวนต์,Edit event
