action_code,relation_code,event_type_code
SIGN_IN_OUT,PUBLIC,
INSTALL_APP,PUBLIC,
MANAGE_ALL_USERS,PLATFORM_ADMIN,
MODERATE_LISTINGS,PLATFORM_ADMIN,
BROWSE_EVENTS,PUBLIC,
BROWSE_TEAMS,PUBLIC,
CREATE_EVENT,ANY_ORGANIZER,
CREATE_EVENT,PLATFORM_ADMIN,
VIEW_EVENT,PUBLIC,
EDIT_EVENT,OWNER,
EDIT_EVENT,CO_ORGANIZER,
EDIT_EVENT,PLATFORM_ADMIN,
DELETE_EVENT,OWNER,
DELETE_EVENT,PLATFORM_ADMIN,
MANAGE_DIVISIONS,OWNER,TOURNAMENT
MANAGE_DIVISIONS,CO_ORGANIZER,TOURNAMENT
MANAGE_DIVISIONS,PLATFORM_ADMIN,TOURNAMENT
MANAGE_DIVISIONS,OWNER,LEAGUE
MANAGE_DIVISIONS,CO_ORGANIZER,LEAGUE
MANAGE_DIVISIONS,PLATFORM_ADMIN,LEAGUE
MANAGE_DIVISIONS,OWNER,SHOWCASE
MANAGE_DIVISIONS,CO_ORGANIZER,SHOWCASE
MANAGE_DIVISIONS,PLATFORM_ADMIN,SHOWCASE
REGISTER_TEAM_FOR_EVENT,HEAD_COACH,TOURNAMENT
REGISTER_TEAM_FOR_EVENT,TEAM_MANAGER,TOURNAMENT
REGISTER_TEAM_FOR_EVENT,PLATFORM_ADMIN,TOURNAMENT
REGISTER_TEAM_FOR_EVENT,HEAD_COACH,LEAGUE
REGISTER_TEAM_FOR_EVENT,TEAM_MANAGER,LEAGUE
REGISTER_TEAM_FOR_EVENT,PLATFORM_ADMIN,LEAGUE
REGISTER_TEAM_FOR_EVENT,HEAD_COACH,SHOWCASE
REGISTER_TEAM_FOR_EVENT,TEAM_MANAGER,SHOWCASE
REGISTER_TEAM_FOR_EVENT,PLATFORM_ADMIN,SHOWCASE
REGISTER_PLAYER_FOR_EVENT,SELF,CAMP
REGISTER_PLAYER_FOR_EVENT,GUARDIAN,CAMP
REGISTER_PLAYER_FOR_EVENT,PLATFORM_ADMIN,CAMP
REGISTER_PLAYER_FOR_EVENT,SELF,SHOWCASE
REGISTER_PLAYER_FOR_EVENT,GUARDIAN,SHOWCASE
REGISTER_PLAYER_FOR_EVENT,PLATFORM_ADMIN,SHOWCASE
CREATE_TEAM,ANY_COACH,
CREATE_TEAM,PLATFORM_ADMIN,
VIEW_TEAM,PUBLIC,
EDIT_TEAM_PROFILE,HEAD_COACH,
EDIT_TEAM_PROFILE,TEAM_MANAGER,
EDIT_TEAM_PROFILE,PLATFORM_ADMIN,
DELETE_TEAM,PLATFORM_ADMIN,
MANAGE_ROSTER,HEAD_COACH,
MANAGE_ROSTER,ASSISTANT_COACH,
MANAGE_ROSTER,TEAM_MANAGER,
MANAGE_ROSTER,PLATFORM_ADMIN,
CREATE_PLAYER,ANY_COACH,
CREATE_PLAYER,ANY_PLAYER,
CREATE_PLAYER,PLATFORM_ADMIN,
VIEW_PLAYER,PUBLIC,
EDIT_PLAYER_PROFILE,SELF,
EDIT_PLAYER_PROFILE,GUARDIAN,
EDIT_PLAYER_PROFILE,HEAD_COACH,
EDIT_PLAYER_PROFILE,ASSISTANT_COACH,
EDIT_PLAYER_PROFILE,PLATFORM_ADMIN,
DELETE_PLAYER,PLATFORM_ADMIN,
VIEW_PLAYER_STATS,PUBLIC,
VIEW_BRACKET,PUBLIC,TOURNAMENT
VIEW_BRACKET,PUBLIC,SHOWCASE
VIEW_FIXTURE_SCHEDULE,PUBLIC,TOURNAMENT
VIEW_FIXTURE_SCHEDULE,PUBLIC,LEAGUE
VIEW_COURT_ASSIGNMENTS,PUBLIC,TOURNAMENT
VIEW_COURT_ASSIGNMENTS,PUBLIC,LEAGUE
VIEW_COURT_ASSIGNMENTS,PUBLIC,SHOWCASE
GENERATE_BRACKETS,OWNER,TOURNAMENT
GENERATE_BRACKETS,CO_ORGANIZER,TOURNAMENT
GENERATE_BRACKETS,PLATFORM_ADMIN,TOURNAMENT
GENERATE_BRACKETS,OWNER,SHOWCASE
GENERATE_BRACKETS,CO_ORGANIZER,SHOWCASE
GENERATE_BRACKETS,PLATFORM_ADMIN,SHOWCASE
GENERATE_FIXTURES,OWNER,TOURNAMENT
GENERATE_FIXTURES,CO_ORGANIZER,TOURNAMENT
GENERATE_FIXTURES,PLATFORM_ADMIN,TOURNAMENT
GENERATE_FIXTURES,OWNER,LEAGUE
GENERATE_FIXTURES,CO_ORGANIZER,LEAGUE
GENERATE_FIXTURES,PLATFORM_ADMIN,LEAGUE
DEFINE_SESSION_SCHEDULE,OWNER,CAMP
DEFINE_SESSION_SCHEDULE,CO_ORGANIZER,CAMP
DEFINE_SESSION_SCHEDULE,PLATFORM_ADMIN,CAMP
ASSIGN_COURTS,OWNER,TOURNAMENT
ASSIGN_COURTS,CO_ORGANIZER,TOURNAMENT
ASSIGN_COURTS,PLATFORM_ADMIN,TOURNAMENT
ASSIGN_COURTS,OWNER,LEAGUE
ASSIGN_COURTS,CO_ORGANIZER,LEAGUE
ASSIGN_COURTS,PLATFORM_ADMIN,LEAGUE
ASSIGN_COURTS,OWNER,SHOWCASE
ASSIGN_COURTS,CO_ORGANIZER,SHOWCASE
ASSIGN_COURTS,PLATFORM_ADMIN,SHOWCASE
ENTER_SCORES,OWNER,TOURNAMENT
ENTER_SCORES,CO_ORGANIZER,TOURNAMENT
ENTER_SCORES,ANY_REFEREE,TOURNAMENT
ENTER_SCORES,PLATFORM_ADMIN,TOURNAMENT
ENTER_SCORES,OWNER,LEAGUE
ENTER_SCORES,CO_ORGANIZER,LEAGUE
ENTER_SCORES,ANY_REFEREE,LEAGUE
ENTER_SCORES,PLATFORM_ADMIN,LEAGUE
ENTER_SCORES,OWNER,SHOWCASE
ENTER_SCORES,CO_ORGANIZER,SHOWCASE
ENTER_SCORES,ANY_REFEREE,SHOWCASE
ENTER_SCORES,PLATFORM_ADMIN,SHOWCASE
CONFIRM_MATCH_STATUS,OWNER,TOURNAMENT
CONFIRM_MATCH_STATUS,CO_ORGANIZER,TOURNAMENT
CONFIRM_MATCH_STATUS,ANY_REFEREE,TOURNAMENT
CONFIRM_MATCH_STATUS,PLATFORM_ADMIN,TOURNAMENT
CONFIRM_MATCH_STATUS,OWNER,LEAGUE
CONFIRM_MATCH_STATUS,CO_ORGANIZER,LEAGUE
CONFIRM_MATCH_STATUS,ANY_REFEREE,LEAGUE
CONFIRM_MATCH_STATUS,PLATFORM_ADMIN,LEAGUE
CONFIRM_MATCH_STATUS,OWNER,SHOWCASE
CONFIRM_MATCH_STATUS,CO_ORGANIZER,SHOWCASE
CONFIRM_MATCH_STATUS,ANY_REFEREE,SHOWCASE
CONFIRM_MATCH_STATUS,PLATFORM_ADMIN,SHOWCASE
RECORD_ATTENDANCE,OWNER,CAMP
RECORD_ATTENDANCE,CO_ORGANIZER,CAMP
RECORD_ATTENDANCE,HEAD_COACH,CAMP
RECORD_ATTENDANCE,ASSISTANT_COACH,CAMP
RECORD_ATTENDANCE,PLATFORM_ADMIN,CAMP
VIEW_GAME_RESULTS,PUBLIC,TOURNAMENT
VIEW_GAME_RESULTS,PUBLIC,LEAGUE
VIEW_GAME_RESULTS,PUBLIC,SHOWCASE
VIEW_MATCH_STATUS,PUBLIC,TOURNAMENT
VIEW_MATCH_STATUS,PUBLIC,LEAGUE
VIEW_MATCH_STATUS,PUBLIC,SHOWCASE
SPOILER_MODE,ANY_SIGNED_IN,
VIEW_RESULTS_ARCHIVE,PUBLIC,
VIEW_STANDINGS,PUBLIC,TOURNAMENT
VIEW_STANDINGS,PUBLIC,LEAGUE
VIEW_RANK_MOVEMENT,PUBLIC,TOURNAMENT
VIEW_RANK_MOVEMENT,PUBLIC,LEAGUE
VIEW_RANKINGS_HISTORY,PUBLIC,
VIEW_SEASON_RECORDS,PUBLIC,LEAGUE
VIEW_LIVE_SCORES,PUBLIC,TOURNAMENT
VIEW_LIVE_SCORES,PUBLIC,LEAGUE
VIEW_LIVE_SCORES,PUBLIC,SHOWCASE
RECEIVE_NOTIFICATIONS,ANY_SIGNED_IN,
VIEW_LIVE_STREAM,PUBLIC,TOURNAMENT
VIEW_LIVE_STREAM,PUBLIC,LEAGUE
VIEW_LIVE_STREAM,PUBLIC,SHOWCASE
VIEW_COURT_STATUS_BOARD,PUBLIC,TOURNAMENT
VIEW_COURT_STATUS_BOARD,PUBLIC,LEAGUE
VIEW_COURT_STATUS_BOARD,PUBLIC,SHOWCASE
AI_CREATE_EVENT,ANY_ORGANIZER,
AI_CREATE_EVENT,PLATFORM_ADMIN,
AI_BRACKET_SUGGESTIONS,OWNER,TOURNAMENT
AI_BRACKET_SUGGESTIONS,CO_ORGANIZER,TOURNAMENT
AI_BRACKET_SUGGESTIONS,PLATFORM_ADMIN,TOURNAMENT
AI_BRACKET_SUGGESTIONS,OWNER,SHOWCASE
AI_BRACKET_SUGGESTIONS,CO_ORGANIZER,SHOWCASE
AI_BRACKET_SUGGESTIONS,PLATFORM_ADMIN,SHOWCASE
AI_QA,PUBLIC,
SIGN_UP_AS_SPECTATOR,PUBLIC,
